position genes direction pattern_name
downstream Cas2,Cas1 +,- Cas9,Cas2,Cas1R
downstream Cas2 + Cas9,Cas2
downstream Cas2 - Cas9,Cas2R
downstream Cas1,None,None,None,Cas2 +,+,-,-,+ Cas9,Cas1,None,NoneR,NoneR,Cas2
downstream Cas1,None,None,Cas2 +,-,-,+ Cas9,Cas1,NoneR,NoneR,Cas2
downstream Cas1,None,Cas2,Csn2 +,+,+,+ Cas9,Cas1,None,Cas2,Csn2
downstream Cas1,None,Cas1,Cas2 +,-,+,+ Cas9,Cas1,NoneR,Cas1,Cas2
downstream Cas1,None,Cas2 +,+,- Cas9,Cas1,None,Cas2R
downstream Cas1,None,Cas2 +,-,+ Cas9,Cas1,NoneR,Cas2
downstream Cas1,None,Cas2 +,+,+ Cas9,Cas1,None,Cas2
downstream Cas1,Csn2 +,+ Cas9,Cas1,Csn2
downstream Cas1,Cas4 +,+ Cas9,Cas1,Cas4
downstream Cas1,Cas2,Csn2 +,+,+ Cas9,Cas1,Cas2,Csn2
downstream Cas1,Cas2,Cas4 +,+,+ Cas9,Cas1,Cas2,Cas4
downstream Cas1,Cas2 -,+ Cas9,Cas1R,Cas2
downstream Cas1,Cas2 +,+ Cas9,Cas1,Cas2
downstream Cas1,Cas2 +,- Cas9,Cas1,Cas2R
downstream Cas1,Cas1,Cas2 +,+,+ Cas9,Cas1,Cas1,Cas2
downstream Cas1 + Cas9,Cas1
downstream Y1_Tnp,Cas1,Cas2 +,+,+ Cas9,Y1_Tnp,Cas1,Cas2
downstream HIRAN,Cas1,Cas2 +,+,+ Cas9,HIRAN,Cas1,Cas2
upstream transposase + transposase,Cas9


